stn_num,start_date,end_date,stn_name,lat,lon
261,2/3/1971,,해남,34.5538,126.5691
262,8/25/2017,,고흥,34.6183,127.2757
262,1/22/1972,8/25/2017,고흥,34.6182,127.2757
263,6/21/2010,,의령군,35.3226,128.2881
264,6/21/2010,,함양군,35.5114,127.7454
265,7/15/1971,3/27/2007,성산포,33.3868,126.8804
266,8/25/2017,,광양시,34.9434,127.6914
266,1/1/2011,8/25/2017,광양시,34.943,127.691
268,5/9/2014,,진도군,34.4731,126.2585
271,1/1/1988,,봉화,36.9436,128.9145
272,11/28/1972,,영주,36.8718,128.5169
273,1/1/1973,,문경,36.6273,128.1488
276,9/1/2010,,청송군,36.4351,129.0401
277,1/3/1972,,영덕,36.5334,129.4093
278,1/1/1973,,의성,36.3561,128.6886
279,1/1/1973,,구미,36.1306,128.3206
281,1/21/1972,,영천,35.9774,128.9514
283,8/6/2010,,경주시,35.8174,129.2009
284,3/4/2011,,거창,35.6674,127.909
284,1/24/1972,3/4/2011,거창,35.6712,127.911
285,1/1/1973,,합천,35.565,128.1699
288,1/1/1973,,밀양,35.4915,128.7441
289,3/30/1972,,산청,35.413,127.8791
294,1/24/1972,,거제,34.8882,128.6045
295,1/24/1972,,남해,34.8166,127.9264
