지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
112,8/29/1904,10/22/2013,인천,인천광역시 중구전동 25번지인천기상대  ,인천기상대(112),37.4776,126.6244,68.15,70.15,1.5,10,0.6
114,9/6/1971,,원주,강원도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14,1.4
115,8/10/1938,,울릉도,,울릉도기상대(115),37.4813,130.8986,222.4,223.7,1.6,10,1.3
116,1/1/1984,12/31/1990,관악산,경기도 과천시중앙로 관악산길(관악산기상레이더관측소)  ,,37.4442,126.9639,626.76,627.96,1.4,3.9,1.1
119,7/24/2019,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1
119,1/1/1964,7/24/2019,수원,경기도 수원시권선구 권선로276  ,수도권기상청(119),37.2723,126.9853,34.84,35.84,1.6,18.7,1.1
121,12/1/1994,,영월,강원도 영월군영월읍 영월로1894-25 영월지역기상서비스센터 ,영월기상대(121),37.1813,128.4574,240.85,242.05,1.7,10,1.4
127,1/1/1972,,충주,충청북도 충주시안림로 55(안림동 521-5번지) ,청주기상대(131),36.9705,127.9525,114.85,116.25,1.65,10,1
129,1/1/1968,,서산,충청남도 서산시수석1길 124-1  ,홍성기상대(서산 129),36.7766,126.4939,25.25,26.55,1.6,20.2,1.1
130,1/12/1971,,울진,,대구(구 143),36.9918,129.4128,48.98,50.18,1.75,10,1.3
131,1/1/1967,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10,0.8
133,1/1/1969,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,70.22,71.12,1.6,19.8,1.2
135,1/11/1937,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1
136,1/1/1983,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3
136,1/1/1973,5/1/1978,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.4,1.5,10,0.6
137,1/1/2002,,상주,,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10,1.4
138,1/1/1943,,포항,,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10,1.2
